aX,aY,aZ,gX,gY,gZ
0.116,-0.631,-0.764,64.697,-7.935,-14.343
-0.059,-0.619,-0.613,66.772,-23.254,-26.184
-0.281,-0.557,-0.449,64.941,-34.912,-32.166
-0.533,-0.434,-0.263,61.279,-42.175,-29.419
-0.827,-0.238,-0.058,56.335,-46.997,-12.390
-1.090,0.023,0.288,56.030,-47.485,16.663
-1.273,0.404,0.695,70.313,-40.039,52.551
-1.340,0.811,1.014,94.666,-21.912,93.994
-1.505,1.314,1.245,118.958,0.793,128.967
-1.691,1.851,1.393,147.400,21.484,152.954
-1.856,2.368,1.429,173.218,30.273,183.716
-2.013,2.919,1.295,196.960,31.128,228.699
-1.988,3.261,0.844,218.933,43.762,279.175
-1.769,3.512,0.140,228.333,84.839,324.951
-1.160,3.623,-0.722,229.370,128.479,350.281
-0.197,3.383,-1.417,234.985,118.835,342.651
0.851,2.984,-1.663,236.389,39.368,297.180
1.936,2.707,-1.568,207.397,-31.860,245.300
2.216,2.968,-1.533,127.930,-9.399,194.397
2.077,2.812,-1.896,42.542,92.224,100.952
1.266,2.188,-2.210,-13.855,146.790,-2.869
0.313,1.702,-2.054,-45.654,75.439,-104.797
-0.537,1.272,-1.551,-47.180,-50.232,-165.771
-1.115,0.769,-0.978,-37.354,-134.460,-190.613
-1.365,0.335,-0.455,-36.377,-143.188,-171.814
-1.301,0.114,-0.065,-49.133,-87.097,-114.563
-1.103,0.150,0.089,-61.584,-1.526,-44.067
-0.906,0.338,-0.030,-59.998,73.364,13.550
-0.706,0.468,-0.295,-41.138,109.253,43.823
-0.553,0.615,-0.539,-20.569,99.548,49.255
-0.437,0.720,-0.688,-4.150,59.692,35.217
-0.385,0.715,-0.754,9.644,13.062,7.690
-0.412,0.615,-0.724,16.907,-23.193,-18.677
-0.510,0.560,-0.654,15.625,-43.762,-35.278
-0.582,0.518,-0.602,13.611,-47.729,-35.156
-0.575,0.546,-0.588,10.986,-35.278,-21.057
-0.480,0.599,-0.628,9.216,-11.841,-1.404
-0.346,0.675,-0.698,7.019,10.193,17.395
-0.222,0.775,-0.779,4.761,23.926,28.931
-0.135,0.837,-0.846,2.441,27.039,31.921
-0.116,0.859,-0.888,-0.610,20.386,26.855
-0.137,0.819,-0.872,-3.906,8.728,14.465
-0.196,0.770,-0.791,-8.728,-4.822,1.343
-0.258,0.727,-0.686,-12.390,-16.663,-5.310
-0.295,0.702,-0.597,-13.000,-22.217,-6.958
-0.322,0.687,-0.535,-11.963,-19.592,-5.676
-0.332,0.673,-0.500,-8.301,-11.780,-2.686
-0.333,0.681,-0.508,-2.808,-3.906,1.709
-0.313,0.684,-0.561,3.723,0.916,6.714
-0.288,0.694,-0.626,8.606,2.380,10.315
-0.265,0.708,-0.683,10.437,1.526,11.292
-0.262,0.718,-0.721,9.460,-0.061,10.376
-0.252,0.723,-0.747,6.470,-1.282,9.888
-0.229,0.734,-0.755,1.465,-0.732,10.803
-0.206,0.753,-0.739,-4.639,0.488,12.024
-0.178,0.769,-0.714,-8.789,1.221,12.573
-0.147,0.782,-0.687,-10.803,0.488,12.146
-0.118,0.787,-0.669,-10.620,-0.366,10.620
-0.099,0.790,-0.656,-9.521,-0.793,7.935
-0.091,0.781,-0.654,-8.118,-1.038,3.723
-0.104,0.767,-0.655,-7.263,-2.563,-1.587
-0.126,0.765,-0.644,-6.409,-6.165,-6.958
-0.148,0.762,-0.632,-4.700,-10.925,-12.268
-0.167,0.762,-0.626,-2.625,-15.015,-16.357
-0.183,0.773,-0.620,-1.526,-16.052,-19.226
-0.187,0.805,-0.623,-1.404,-13.916,-20.813
-0.183,0.859,-0.641,-2.319,-10.010,-21.240
-0.175,0.918,-0.665,-3.357,-5.371,-21.973
-0.158,0.974,-0.695,-4.272,-2.014,-25.452
-0.152,1.046,-0.744,-6.226,-2.991,-31.250
-0.136,1.026,-0.752,-6.714,-6.714,-37.415
